re;region
адыге[я|и|ю];Адыгея Респ
алтай[cкий|ского|cком|скому]*?;Алтайский край
амурск[а|о|у][я|й|ю];Амурская обл
архангельск[а|о|у][я|й|ю];Архангельская обл
астраханск[а|о|у][я|й|ю];Астраханская обл
башкири[я|и|ю];Башкортостан Респ
башкортостан[а|е|у]?;Башкортостан Респ
белгородск[а|о|у][я|й|ю];Белгородская обл
брянск[а|о|у][я|й|ю];Брянская обл
буряти[я|и|ю];Бурятия Респ
владимирск[а|о|у][я|й|ю];Владимирская обл
волгоградск[а|о|у][я|й|ю];Волгоградская обл
вологодск[а|о|у][я|й|ю];Вологодская обл
воронежск[а|о|у][я|й|ю];Воронежская обл
дагестан[а|е|у]?;Дагестан Респ
еврейск[а|о|у][я|й|ю];Еврейская Аобл
забайкальск[ий|ого|ому]*?;Забайкальский край
ивановск[а|о|у][я|й|ю];Ивановская обл
ингушети[я|и|ю];Ингушетия Респ
якути[я|и|ю];Иркутская обл
кабардино-балкари[я|и|ю];Кабардино-Балкарская Респ
калининградск[а|о|у][я|й|ю];Калининградская обл
калмыки[я|и|ю];Калмыкия Респ
калужск[а|о|у][я|й|ю];Калужская обл
камчатк[а|с|е|у|и][и]?[й]?;Камчатский край
карачаево черкесск[а|о|у][я|й|ю];Карачаево-Черкесская Респ
карели[я|и|ю];Карелия Респ
кемеровск[а|о|у][я|й|ю];Кемеровская область
кузбасс[а|е|у]?;Кузбасс обл
кировск[а|о|у][я|й|ю];Кировская обл
коми;Коми Респ
костромск[а|о|у][я|й|ю];Костромская обл
краснодарск[а|о|у|и][я|й|ю];Краснодарский край
красноярск[и|о][й|г|м][о|у]?;Красноярский край
крым[а|у|е]?;Крым Респ
курганск[а|о|у][я|й|ю];Курганская обл
курск[а|о|у][я|й|ю];Курская обл
ленинградск[а|о|у][я|й|ю];Ленинградская обл
липецк[а|о|у][я|й|ю];Липецкая обл
магаданск[а|о|у][я|й|ю];Магаданская обл
марий эл;Марий Эл Респ
мордови[я|и|ю];Мордовия Респ
мос;Московская обл
мо;Московская обл
московск[а|о|у][я|й|ю];Московская обл
мурманск[а|о|у][я|й|ю];Мурманская обл
ненецк[а|о|у][я|й|ю];Ненецкий АО
нижегородск[а|о|у][я|й|ю];Нижегородская обл
новгородск[а|о|у][я|й|ю];Новгородская обл
новосибирск[а|о|у][я|й|ю];Новосибирская обл
омская[а|о|у][я|й|ю];Омская обл
оренбургск[а|о|у][я|й|ю];Оренбургская обл
орловск[а|о|у][я|й|ю];Орловская обл
пензенск[а|о|у][я|й|ю];Пензенская обл
пермск[и|о][й|м|г][о|у]?;Пермский край
приморск[и|о][й|м|г][о|у]?;Приморский край
псковск[а|о|у][я|й|ю];Псковская обл
ростовск[а|о|у][я|й|ю];Ростовская обл
рязанск[а|о|у][я|й|ю];Рязанская обл
самарск[а|о|у][я|й|ю];Самарская обл
саратовск[а|о|у][я|й|ю];Саратовская обл
сахалинск[а|о|у][я|й|ю];Сахалинская обл
свердловск[а|о|у][я|й|ю];Свердловская обл
осети[я|и|ю];Северная Осетия
алани[я|и|ю]; Алания Респ
смоленск[а|о|у][я|й|ю];Смоленская обл
ставропольск[а|о|у][я|й|ю];Ставропольский край
тамборск[а|о|у][я|й|ю];Тамбовская обл
татарстан[а|е|у]?;Татарстан Респ
тверск[а|о|у][я|й|ю];Тверская обл
томск[а|о|у][я|й|ю];Томская обл
тульск[а|о|у][я|й|ю];Тульская обл
тыв[а|е|у];Тыва Респ
тюменск[а|о|у][я|й|ю];Тюменская обл
удмуртс[а|о|у][я|й|ю];Удмуртская Респ
ульяновск[а|о|у][я|й|ю];Ульяновская обл
хабаровск[и|о][й|м|г][о|у]?;Хабаровский край
хакаси[я|и|ю];Хакасия Респ
хмао;Ханты-Мансийский Автономный округ
ханты-мансийск[и|о][й|м|г][о|у]?;Ханты-Мансийский Автономный округ
челябинск[а|о|у][я|й|ю];Челябинская обл
чеченск[а|о|у][я|й|ю];Чеченская Респ
чувашск[а|о|у][я|й|ю];Чувашская Республика Чувашия
чукотк[а|у|и|е];Чукотский АО
Саха /Якутия/ Респ;Саха /Якутия/ Респ
янао;Ямало-Ненецкий АО
ярославск[а|о|у][я|й|ю];Ярославская обл
югр[а|у|ы|е];Югра АО
подмосковь[е|ю][м]?;Московская обл
